game_id,date,home_team,away_team,bet_type,bet_side,odds,line,bookmaker,model_prob,market_prob,edge,outcome,profit,stake
00483daf4c80ac131810a9d835477e11,2025-12-21,Memphis Grizzlies,Washington Wizards,spread,home,-105,-12.5,betmgm,0.5735592257125495,0.5241099393515957,0.049449286360953804,loss,-100.0,100
0075d6ec419f23c1e6e3a7cc279ec2e2,2025-11-09,San Antonio Spurs,New Orleans Pelicans,spread,away,-101,11.0,lowvig,0.5822280606272271,0.5207775697878156,0.061450490839411454,loss,-100.0,100
02ea5bff59e1d511ffeefcb8593d74a0,2025-11-10,Sacramento Kings,Minnesota Timberwolves,spread,home,-110,5.5,fanduel,0.5693804187811724,0.52985757554309,0.03952284323808242,win,90.9090909090909,100
078f0883a88c1fb2deaf8a47b59c671f,2025-11-22,Charlotte Hornets,Los Angeles Clippers,spread,away,-103,-2.0,lowvig,0.5703055458257513,0.5203535430830663,0.049952002742685075,win,97.08737864077669,100
09e34bcf1234210ced1646210034cedb,2025-11-08,Washington Wizards,Cleveland Cavaliers,spread,away,-110,-11.5,fanduel,0.5755224399925665,0.5282565988756629,0.04726584111690357,loss,-100.0,100
0a1129b3f805dc5b4e436c961ef10818,2025-12-08,Chicago Bulls,Golden State Warriors,spread,away,-102,-1.5,draftkings,0.5674863585122423,0.5198375390463508,0.0476488194658915,win,98.0392156862745,100
0e5d47b1a4c507af55eafadbd01f0e9d,2025-11-19,Atlanta Hawks,Detroit Pistons,spread,home,105,-1.5,betmgm,0.7,0.5183990953510115,0.18160090464898848,win,105.0,100
122e4dc2b42cc3f47263cb1589333b79,2025-12-16,Boston Celtics,Detroit Pistons,spread,home,-106,-1.5,lowvig,0.5805223061795718,0.5241691541407879,0.05635315203878388,win,94.33962264150944,100
1352493818e6fca5d4e4b9035176d07a,2026-01-02,Detroit Pistons,Miami Heat,spread,away,100,4.5,betmgm,0.5970240523203985,0.5227336620169679,0.07429039030343054,win,100.0,100
1542719a5cedccb390e99e3a635857da,2025-12-07,Charlotte Hornets,Denver Nuggets,spread,home,104,10.0,lowvig,0.5699971430488466,0.5196371096086817,0.05036003344016493,win,104.0,100
1af096075324c24f402566517cb35f91,2025-11-29,Atlanta Hawks,Cleveland Cavaliers,spread,away,-106,-5.5,lowvig,0.5648097514868875,0.5269933407432431,0.03781641074364439,loss,-100.0,100
1eb6fa928977c91a8de9a270964c7503,2025-12-02,Utah Jazz,Houston Rockets,spread,home,-102,11.5,draftkings,0.6104101537123119,0.5220636429723312,0.08834651073998068,loss,-100.0,100
